册,课,序号,汉字,拼音（带声调）,拼音（不带声调）
3,1,1,俩,liang3,liang
3,1,2,户,hu4,hu
3,1,3,邻,lin2,lin
3,1,4,居,ju1,ju
3,1,5,互,hu4,hu
3,1,6,借,jie4,jie
3,1,7,咖,ka1,ka
3,1,8,啡,fei1,fei
3,1,9,劝,quan4,quan
3,1,10,尝,chang2,chang
3,1,11,糕,gao1,gao
3,1,12,饼,bing3,bing
3,1,13,简,jian3,jian
3,1,14,便,bian4,bian
3,1,15,午,wu3,wu
3,1,16,餐,can1,can
3,2,1,广,guang3,guang
3,2,2,角,jiao3,jiao
3,2,3,艺,yi4,yi
3,2,4,术,shu4,shu
3,2,5,另,ling4,ling
3,2,6,类,lei4,lei
3,2,7,非,fei1,fei
3,2,8,凡,fan2,fan
3,2,9,告,gao4,gao
3,2,10,诉,su4,su
3,2,11,观,guan1,guan
3,2,12,众,zhong4,zhong
3,2,13,号,hao4,hao
3,2,14,召,zhao4,zhao
3,2,15,节,jie2,jie
3,2,16,约,yue1,yue
3,3,1,呆,dai1,dai
3,3,2,驴,lyu2,lv
3,3,3,傻,sha3,sha
3,3,4,鹿,lu4,lu
3,3,5,脑,nao3,nao
3,3,6,袋,dai4,dai
3,3,7,相,xiang1,xiang
3,3,8,连,lian2,lian
3,3,9,总,zong3,zong
3,3,10,求,qiu2,qiu
3,3,11,医,yi1,yi
3,3,12,治,zhi4,zhi
3,3,13,希,xi1,xi
3,3,14,望,wang4,wang
3,3,15,结,jie2,jie
3,3,16,束,shu4,shu
3,4,1,因,yin1,yin
3,4,2,为,wei4,wei
3,4,3,悲,bei1,bei
3,4,4,伤,shang1,shang
3,4,5,所,suo3,suo
3,4,6,以,yi3,yi
3,4,7,流,liu2,liu
3,4,8,泪,lei4,lei
3,4,9,由,you2,you
3,4,10,于,yu2,yu
3,4,11,假,jia3,jia
3,4,12,装,zhuang1,zhuang
3,4,13,赶,gan3,gan
3,4,14,紧,jin3,jin
3,4,15,轻,qing1,qing
3,4,16,松,song1,song
3,5,1,汤,tang1,tang
3,5,2,烫,tang4,tang
3,5,3,舌,she2,she
3,5,4,尖,jian1,jian
3,5,5,渴,ke3,ke
3,5,6,喝,he1,he
3,5,7,淡,dan4,dan
3,5,8,茶,cha2,cha
3,5,9,健,jian4,jian
3,5,10,康,kang1,kang
3,5,11,饮,yin3,yin
3,5,12,料,liao4,liao
3,5,13,食,shi2,shi
3,5,14,品,pin3,pin
3,5,15,营,ying2,ying
3,5,16,养,yang3,yang
3,6,1,庭,ting2,ting
3,6,2,院,yuan4,yuan
3,6,3,整,zheng3,zheng
3,6,4,齐,qi2,qi
